CompoundID,Gene Target,pIC50
CM-212452,Abl,5.5
CM-212452,ACVR1,5.33
CM-212452,Akt1,5.39
CM-212452,ALK,5.32
CM-212452,Aurora1,5.26
CM-212452,BTK,5.23
CM-212452,CAMK1D,5.26
CM-212452,CAMK2A,5.44
CM-212452,CAMKK2,5.3
CM-212452,CDK8/Cyclin C,5.3
CM-212452,CDK9/Cyclin K,5.31
CM-212452,Ck1alpha1,5.44
CM-212452,CSF1R,5.3
CM-212452,DDR1,5.28
CM-212452,Dyrk1A,5.63
CM-212452,EGFR,5.35
CM-212452,Erk2,5.27
CM-212452,FAK,5.27
CM-212452,Flt1,5.27
CM-212452,Fyn,5.25
CM-212452,GRK5,5.25
CM-212452,Gsk3b,5.22
CM-212452,IGF1R,5.43
CM-212452,IKKE,5.33
CM-212452,JAK2,5.34
CM-212452,JAK3,5.3
CM-212452,JNK1,5.29
CM-212452,Lck,5.13
CM-212452,LTK,5.37
CM-212452,MAP3K10,5.26
CM-212452,MAP4K2,5.63
CM-212452,MAP4K4,5.33
CM-212452,MEK1,5.32
CM-212452,PAK4KD,5.36
CM-212452,PDGFRB,5.57
CM-212452,Pim1,5.25
CM-212452,PKA,5.31
CM-212452,PKCtheta,5.41
CM-212452,PKG1A,5.4
CM-212452,Plk3,5.43
CM-212452,Prkcn,5.56
CM-212452,RET,5.34
CM-212452,Rsk2,5.33
CM-212452,TAOK2,5.4
CM-212452,TNK2,5.41
CM-212452,TrkC,5.33
CM-212452,Wee1,5.3
CM-212452,Zipk,5.24
CM-212452,BRAF,5.6
CM-212452,MAP2K3,5.39
CM-212452,MST1,5.44
CM-212452,Rock1,5.34
CM-212452,SGK1,5.29
CM-212452,STK16,5.34
CM-370560,Abl,5.5
CM-370560,ACVR1,6.4
CM-370560,Akt1,5.39
CM-370560,ALK,5.32
CM-370560,Aurora1,5.26
CM-370560,Aurora2,5.3
CM-370560,BTK,5.23
CM-370560,CAMK1D,5.26
CM-370560,CAMK2A,6.41
CM-370560,CAMKK2,5.3
CM-370560,CDK8/Cyclin C,5.3
CM-370560,CDK9/Cyclin K,5.31
CM-370560,Ck1alpha1,5.34
CM-370560,CLK2,5.33
CM-370560,CSF1R,5.3
CM-370560,DDR1,5.28
CM-370560,Dyrk1A,5.29
CM-370560,EGFR,5.35
CM-370560,Erk2,5.27
CM-370560,FAK,5.27
CM-370560,Flt1,5.27
CM-370560,Fyn,5.25
CM-370560,GRK5,5.25
CM-370560,Gsk3b,10.2
CM-370560,IGF1R,5.43
CM-370560,IKKE,5.33
CM-370560,JAK2,6.58
CM-370560,JAK3,6.54
CM-370560,JNK1,5.29
CM-370560,Lck,5.13
CM-370560,LTK,5.37
CM-370560,MAP3K10,5.26
CM-370560,MAP4K2,7.02
CM-370560,MAP4K4,5.33
CM-370560,MEK1,5.32
CM-370560,PAK4KD,5.36
CM-370560,Pim1,5.25
CM-370560,PKA,5.31
CM-370560,PKCtheta,5.41
CM-370560,PKG1A,5.4
CM-370560,Plk3,5.43
CM-370560,Prkcn,5.56
CM-370560,RET,6.16
CM-370560,Rsk2,6.66
CM-370560,TAOK2,5.4
CM-370560,TNK2,5.41
CM-370560,Wee1,5.3
CM-370560,Zipk,5.24
CM-370560,BRAF,5.6
CM-370560,MAP2K3,5.39
CM-370560,MST1,5.44
CM-370560,Rock1,5.34
CM-370560,SGK1,5.29
CM-370560,STK16,5.34
CM-758910,Abl,7.91
CM-758910,ACVR1,5.36
CM-758910,Akt1,5.3
CM-758910,ALK,5.24
CM-758910,Aurora1,7.21
CM-758910,Aurora2,6.24
CM-758910,BTK,5.23
CM-758910,CAMK1D,5.61
CM-758910,CAMK2A,5.36
CM-758910,CAMKK2,5.51
CM-758910,CDK8/Cyclin C,8.86
CM-758910,CDK9/Cyclin K,5.78
CM-758910,Ck1alpha1,5.39
CM-758910,CLK2,5.42
CM-758910,CSF1R,7.57
CM-758910,DDR1,8.9
CM-758910,Dyrk1A,5.73
CM-758910,EGFR,5.78
CM-758910,Erk2,5.18
CM-758910,FAK,6.6
CM-758910,Flt1,7.92
CM-758910,Fyn,5.81
CM-758910,GRK5,5.36
CM-758910,Gsk3b,5.45
CM-758910,IGF1R,5.58
CM-758910,IKKE,5.8
CM-758910,JAK2,6.24
CM-758910,JAK3,5.32
CM-758910,JNK1,5.29
CM-758910,Lck,6.96
CM-758910,LTK,7.25
CM-758910,MAP3K10,7.33
CM-758910,MAP4K2,6.14
CM-758910,MAP4K4,6.23
CM-758910,MEK1,5.48
CM-758910,Nek2,7.05
CM-758910,PAK4KD,5.34
CM-758910,PDGFRB,8.25
CM-758910,Pim1,5.24
CM-758910,PKA,5.86
CM-758910,PKCtheta,5.65
CM-758910,PKG1A,5.44
CM-758910,Plk3,7.3
CM-758910,Prkcn,5.41
CM-758910,RET,8.9
CM-758910,Rsk2,5.91
CM-758910,TAOK2,6.02
CM-758910,TBK1,5.5
CM-758910,TNK2,6.02
CM-758910,TrkC,7.7
CM-758910,Wee1,5.61
CM-758910,Zipk,5.27
CM-758910,BRAF,7.7
CM-758910,MAP2K3,5.51
CM-758910,MST1,6.85
CM-758910,Rock1,6.52
CM-758910,SGK1,5.45
CM-758910,STK16,5.27
CM-758910,cMET,6.18
CM-937596,Abl,6.1
CM-937596,ACVR1,6.18
CM-937596,Akt1,5.39
CM-937596,ALK,7.44
CM-937596,Aurora1,5.91
CM-937596,Aurora2,5.93
CM-937596,BTK,6.58
CM-937596,CAMK1D,5.83
CM-937596,CAMK2A,5.77
CM-937596,CAMKK2,6.39
CM-937596,CDK8/Cyclin C,5.3
CM-937596,CDK9/Cyclin K,5.31
CM-937596,Ck1alpha1,5.2
CM-937596,CLK2,6.21
CM-937596,CSF1R,7.19
CM-937596,DDR1,5.63
CM-937596,Dyrk1A,5.29
CM-937596,EGFR,5.59
CM-937596,Erk2,5.27
CM-937596,FAK,7.23
CM-937596,Flt1,6.22
CM-937596,Fyn,6.46
CM-937596,GRK5,5.84
CM-937596,Gsk3b,5.47
CM-937596,IGF1R,7.69
CM-937596,IKKE,7.07
CM-937596,JAK2,7.96
CM-937596,JAK3,7.06
CM-937596,JNK1,5.4
CM-937596,Lck,5.97
CM-937596,LTK,6.96
CM-937596,MAP3K10,6.19
CM-937596,MAP4K2,6.51
CM-937596,MAP4K4,6.8
CM-937596,MEK1,7.36
CM-937596,Nek2,5.29
CM-937596,PAK4KD,6.73
CM-937596,PDGFRB,6.26
CM-937596,Pim1,5.25
CM-937596,PKA,6.04
CM-937596,PKCtheta,5.75
CM-937596,PKG1A,6.51
CM-937596,Plk3,5.43
CM-937596,Prkcn,5.56
CM-937596,RET,8.09
CM-937596,Rsk2,5.97
CM-937596,TAOK2,5.4
CM-937596,TBK1,6.61
CM-937596,TNK2,6.89
CM-937596,TrkC,7.33
CM-937596,Wee1,5.36
CM-937596,Zipk,7.38
CM-937596,BRAF,5.6
CM-937596,MAP2K3,5.39
CM-937596,MST1,7.79
CM-937596,Rock1,5.59
CM-937596,SGK1,5.29
CM-937596,STK16,6.29
CM-937596,cMET,5.65
CM-974218,Abl,5.5
CM-974218,ACVR1,5.33
CM-974218,Akt1,5.39
CM-974218,ALK,5.32
CM-974218,Aurora1,5.83
CM-974218,Aurora2,5.56
CM-974218,BTK,5.23
CM-974218,CAMK1D,5.47
CM-974218,CAMK2A,5.44
CM-974218,CAMKK2,5.3
CM-974218,CDK8/Cyclin C,6.37
CM-974218,CDK9/Cyclin K,5.31
CM-974218,Ck1alpha1,5.34
CM-974218,CLK2,5.52
CM-974218,CSF1R,5.3
CM-974218,DDR1,5.28
CM-974218,Dyrk1A,5.72
CM-974218,EGFR,5.35
CM-974218,Erk2,5.27
CM-974218,FAK,5.27
CM-974218,Flt1,5.59
CM-974218,GRK5,5.25
CM-974218,Gsk3b,5.88
CM-974218,IGF1R,5.43
CM-974218,IKKE,5.62
CM-974218,JAK2,6.61
CM-974218,JNK1,5.37
CM-974218,Lck,5.13
CM-974218,LTK,5.37
CM-974218,MAP3K10,5.26
CM-974218,MAP4K2,5.63
CM-974218,MAP4K4,5.33
CM-974218,MEK1,5.87
CM-974218,Nek2,5.29
CM-974218,PAK4KD,5.44
CM-974218,PDGFRB,5.57
CM-974218,Pim1,5.25
CM-974218,PKA,6.82
CM-974218,PKCtheta,6.49
CM-974218,PKG1A,8.15
CM-974218,Plk3,5.43
CM-974218,Prkcn,5.72
CM-974218,RET,5.34
CM-974218,Rsk2,5.5
CM-974218,TAOK2,5.4
CM-974218,TBK1,5.39
CM-974218,TNK2,5.41
CM-974218,TrkC,5.33
CM-974218,Wee1,5.36
CM-974218,Zipk,6.57
CM-974218,BRAF,5.6
CM-974218,MAP2K3,5.39
CM-974218,MST1,5.76
CM-974218,SGK1,6.45
CM-974218,STK16,5.8
CM-974218,cMET,5.31
CM-978396,Abl,6.21
CM-978396,ACVR1,6.13
CM-978396,ALK,7.23
CM-978396,Aurora1,6.83
CM-978396,Aurora2,6.68
CM-978396,BTK,5.57
CM-978396,CAMK1D,5.82
CM-978396,CAMK2A,6.56
CM-978396,CDK8/Cyclin C,8.14
CM-978396,CDK9/Cyclin K,6.73
CM-978396,Ck1alpha1,6.04
CM-978396,CLK2,8.29
CM-978396,CSF1R,6.63
CM-978396,Dyrk1A,7.16
CM-978396,FAK,6.92
CM-978396,Flt1,6.58
CM-978396,Fyn,6.43
CM-978396,GRK5,6.13
CM-978396,Gsk3b,6.21
CM-978396,IGF1R,6.01
CM-978396,IKKE,6.03
CM-978396,JAK2,7.24
CM-978396,JAK3,6.79
CM-978396,JNK1,6.45
CM-978396,Lck,6.22
CM-978396,LTK,7.9
CM-978396,MAP4K2,6.25
CM-978396,MAP4K4,6.21
CM-978396,MEK1,5.74
CM-978396,Nek2,5.48
CM-978396,PAK4KD,6.16
CM-978396,PDGFRB,5.94
CM-978396,Pim1,5.75
CM-978396,PKA,6.15
CM-978396,PKCtheta,6.52
CM-978396,Prkcn,6.08
CM-978396,RET,6.41
CM-978396,Rsk2,5.9
CM-978396,TAOK2,5.73
CM-978396,TBK1,5.6
CM-978396,TNK2,7
CM-978396,TrkC,6.26
CM-978396,Zipk,7.06
CM-978396,MST1,6.84
CM-978396,Rock1,6.09
CM-978396,cMET,6.27
CM-1047129,Abl,5.502
CM-1047129,ACVR1,5.329
CM-1047129,Akt1,5.39
CM-1047129,ALK,5.321
CM-1047129,Aurora1,5.259
CM-1047129,Aurora2,5.303
CM-1047129,BTK,5.228
CM-1047129,CAMK1D,5.261
CM-1047129,CAMK2A,5.44
CM-1047129,CAMKK2,5.305
CM-1047129,CDK8/Cyclin C,5.301
CM-1047129,CDK9/Cyclin K,5.312
CM-1047129,Ck1alpha1,5.338
CM-1047129,CLK2,5.333
CM-1047129,CSF1R,5.296
CM-1047129,DDR1,5.283
CM-1047129,Dyrk1A,5.291
CM-1047129,EGFR,5.348
CM-1047129,Erk2,5.273
CM-1047129,FAK,5.271
CM-1047129,Flt1,5.272
CM-1047129,Fyn,5.253
CM-1047129,GRK5,5.252
CM-1047129,Gsk3b,5.224
CM-1047129,IGF1R,5.429
CM-1047129,IKKE,5.325
CM-1047129,JAK2,7.18
CM-1047129,JAK3,8.06
CM-1047129,JNK1,5.292
CM-1047129,Lck,5.128
CM-1047129,LTK,5.369
CM-1047129,MAP3K10,5.257
CM-1047129,MAP4K2,5.625
CM-1047129,MAP4K4,5.329
CM-1047129,MEK1,5.316
CM-1047129,Nek2,5.286
CM-1047129,PAK4KD,5.358
CM-1047129,PDGFRB,5.569
CM-1047129,Pim1,5.253
CM-1047129,PKA,5.311
CM-1047129,PKCtheta,5.413
CM-1047129,PKG1A,5.398
CM-1047129,Plk3,5.432
CM-1047129,Prkcn,5.559
CM-1047129,RET,5.337
CM-1047129,Rsk2,5.333
CM-1047129,TAOK2,5.398
CM-1047129,TBK1,5.391
CM-1047129,TNK2,5.413
CM-1047129,TrkC,5.333
CM-1047129,Wee1,5.301
CM-1047129,Zipk,5.243
CM-1047129,MAP2K3,5.394
CM-1047129,Rock1,5.336
CM-1047129,STK16,5.337
CM-1103869,Abl,6.19
CM-1103869,ACVR1,6.15
CM-1103869,Akt1,5.3
CM-1103869,ALK,5.24
CM-1103869,Aurora1,7.34
CM-1103869,Aurora2,6.91
CM-1103869,BTK,6.2
CM-1103869,CAMK1D,5.61
CM-1103869,CAMK2A,5.36
CM-1103869,CAMKK2,6.04
CM-1103869,CDK8/Cyclin C,5.41
CM-1103869,CDK9/Cyclin K,7.16
CM-1103869,Ck1alpha1,5.39
CM-1103869,CLK2,5.75
CM-1103869,CSF1R,7.68
CM-1103869,DDR1,5.62
CM-1103869,Dyrk1A,5.73
CM-1103869,EGFR,5.78
CM-1103869,Erk2,5.18
CM-1103869,FAK,5.3
CM-1103869,Flt1,7.03
CM-1103869,Fyn,5.4
CM-1103869,GRK5,5.36
CM-1103869,Gsk3b,5.45
CM-1103869,IGF1R,5.58
CM-1103869,IKKE,5.48
CM-1103869,JAK2,6.61
CM-1103869,JAK3,5.8
CM-1103869,JNK1,5.83
CM-1103869,Lck,6.25
CM-1103869,LTK,6.6
CM-1103869,MAP3K10,6.07
CM-1103869,MAP4K2,5.56
CM-1103869,MAP4K4,6.28
CM-1103869,MEK1,6.39
CM-1103869,Nek2,5.48
CM-1103869,PAK4KD,5.34
CM-1103869,PDGFRB,6.59
CM-1103869,Pim1,5.24
CM-1103869,PKA,5.86
CM-1103869,PKCtheta,5.65
CM-1103869,PKG1A,5.44
CM-1103869,Plk3,5.81
CM-1103869,Prkcn,6.15
CM-1103869,RET,7.2
CM-1103869,Rsk2,6.13
CM-1103869,TAOK2,6.94
CM-1103869,TBK1,5.86
CM-1103869,TNK2,6.43
CM-1103869,TrkC,5.46
CM-1103869,Wee1,5.44
CM-1103869,Zipk,5.38
CM-1103869,BRAF,5.47
CM-1103869,MAP2K3,5.51
CM-1103869,MST1,6.66
CM-1103869,Rock1,6.13
CM-1103869,SGK1,5.45
CM-1103869,STK16,7.06
CM-1103869,cMET,6.05
CM-1110146,Abl,6.1
CM-1110146,ACVR1,5.92
CM-1110146,Akt1,5.39
CM-1110146,ALK,5.56
CM-1110146,Aurora1,6.11
CM-1110146,Aurora2,5.3
CM-1110146,BTK,5.59
CM-1110146,CAMK1D,6.25
CM-1110146,CAMK2A,6.74
CM-1110146,CAMKK2,6.37
CM-1110146,CDK8/Cyclin C,6.02
CM-1110146,CDK9/Cyclin K,5.31
CM-1110146,Ck1alpha1,5.34
CM-1110146,CLK2,6.76
CM-1110146,CSF1R,8.33
CM-1110146,DDR1,5.48
CM-1110146,Dyrk1A,5.67
CM-1110146,EGFR,5.35
CM-1110146,Erk2,5.27
CM-1110146,FAK,6.09
CM-1110146,Flt1,6.44
CM-1110146,GRK5,6.46
CM-1110146,Gsk3b,5.71
CM-1110146,IGF1R,5.76
CM-1110146,IKKE,5.98
CM-1110146,JAK2,7.88
CM-1110146,JAK3,7.63
CM-1110146,JNK1,6.76
CM-1110146,LTK,6.78
CM-1110146,MAP3K10,6.27
CM-1110146,MAP4K2,7.92
CM-1110146,MAP4K4,7.26
CM-1110146,MEK1,7.65
CM-1110146,Nek2,5.29
CM-1110146,PAK4KD,6.4
CM-1110146,Pim1,5.25
CM-1110146,PKA,5.35
CM-1110146,PKCtheta,6.79
CM-1110146,PKG1A,5.4
CM-1110146,Plk3,5.43
CM-1110146,Prkcn,7.42
CM-1110146,RET,6.53
CM-1110146,Rsk2,7
CM-1110146,TAOK2,6.13
CM-1110146,TBK1,6.21
CM-1110146,TNK2,6.37
CM-1110146,TrkC,5.44
CM-1110146,Wee1,5.3
CM-1110146,Zipk,6.11
CM-1110146,MAP2K3,5.39
CM-1110146,Rock1,6.78
CM-1110146,STK16,6.34
CM-1116691,Abl,5.5
CM-1116691,ACVR1,5.33
CM-1116691,Akt1,5.39
CM-1116691,ALK,5.32
CM-1116691,Aurora1,5.26
CM-1116691,Aurora2,5.3
CM-1116691,BTK,5.23
CM-1116691,CAMK1D,6.01
CM-1116691,CAMK2A,6.43
CM-1116691,CAMKK2,5.3
CM-1116691,CDK8/Cyclin C,5.3
CM-1116691,CDK9/Cyclin K,5.31
CM-1116691,Ck1alpha1,5.34
CM-1116691,CLK2,5.33
CM-1116691,CSF1R,7.3
CM-1116691,DDR1,5.28
CM-1116691,Dyrk1A,5.29
CM-1116691,EGFR,5.35
CM-1116691,Erk2,5.27
CM-1116691,FAK,5.27
CM-1116691,Flt1,5.27
CM-1116691,GRK5,5.49
CM-1116691,Gsk3b,5.4
CM-1116691,IGF1R,5.43
CM-1116691,IKKE,5.33
CM-1116691,JAK2,7.28
CM-1116691,JAK3,6.39
CM-1116691,JNK1,5.29
CM-1116691,Lck,5.13
CM-1116691,LTK,5.37
CM-1116691,MAP3K10,5.26
CM-1116691,MAP4K2,6.37
CM-1116691,MAP4K4,5.33
CM-1116691,MEK1,5.93
CM-1116691,Nek2,5.29
CM-1116691,PAK4KD,5.36
CM-1116691,Pim1,5.25
CM-1116691,PKA,5.31
CM-1116691,PKCtheta,6.19
CM-1116691,PKG1A,5.4
CM-1116691,Plk3,5.43
CM-1116691,Prkcn,6.32
CM-1116691,RET,5.34
CM-1116691,Rsk2,6.17
CM-1116691,TAOK2,5.4
CM-1116691,TBK1,5.39
CM-1116691,TNK2,5.54
CM-1116691,TrkC,5.33
CM-1116691,Wee1,5.3
CM-1116691,Zipk,5.37
CM-1116691,MAP2K3,5.39
CM-1116691,Rock1,5.76
CM-1116691,STK16,5.34
CM-1116691,Abl,5.502
CM-1116691,ACVR1,5.329
CM-1116691,Akt1,5.39
CM-1116691,ALK,5.321
CM-1116691,Aurora1,5.259
CM-1116691,Aurora2,5.303
CM-1116691,BTK,5.228
CM-1116691,CAMK1D,6.009
CM-1116691,CAMK2A,6.428
CM-1116691,CAMKK2,5.305
CM-1116691,CDK8/Cyclin C,5.301
CM-1116691,CDK9/Cyclin K,5.312
CM-1116691,Ck1alpha1,5.338
CM-1116691,CLK2,5.333
CM-1116691,CSF1R,7.295
CM-1116691,DDR1,5.283
CM-1116691,Dyrk1A,5.291
CM-1116691,EGFR,5.348
CM-1116691,Erk2,5.273
CM-1116691,FAK,5.271
CM-1116691,Flt1,5.272
CM-1116691,GRK5,5.495
CM-1116691,Gsk3b,5.401
CM-1116691,IGF1R,5.429
CM-1116691,IKKE,5.325
CM-1116691,JAK2,7.281
CM-1116691,JAK3,6.393
CM-1116691,JNK1,5.292
CM-1116691,Lck,5.128
CM-1116691,LTK,5.369
CM-1116691,MAP3K10,5.257
CM-1116691,MAP4K2,6.37
CM-1116691,MAP4K4,5.329
CM-1116691,MEK1,5.928
CM-1116691,Nek2,5.286
CM-1116691,PAK4KD,5.358
CM-1116691,Pim1,5.253
CM-1116691,PKA,5.311
CM-1116691,PKCtheta,6.192
CM-1116691,PKG1A,5.398
CM-1116691,Plk3,5.432
CM-1116691,Prkcn,6.315
CM-1116691,RET,5.337
CM-1116691,Rsk2,6.165
CM-1116691,TAOK2,5.398
CM-1116691,TBK1,5.391
CM-1116691,TNK2,5.538
CM-1116691,TrkC,5.333
CM-1116691,Wee1,5.301
CM-1116691,Zipk,5.371
CM-1116691,MAP2K3,5.394
CM-1116691,Rock1,5.764
CM-1116691,STK16,5.337
CM-1119655,Abl,5.59
CM-1119655,ACVR1,5.36
CM-1119655,Akt1,5.3
CM-1119655,ALK,5.24
CM-1119655,Aurora1,5.39
CM-1119655,Aurora2,5.78
CM-1119655,BTK,5.23
CM-1119655,CAMK1D,5.83
CM-1119655,CAMK2A,5.36
CM-1119655,CAMKK2,6.14
CM-1119655,CDK8/Cyclin C,5.8
CM-1119655,CDK9/Cyclin K,5.78
CM-1119655,Ck1alpha1,5.39
CM-1119655,CLK2,5.47
CM-1119655,CSF1R,7.46
CM-1119655,DDR1,5.82
CM-1119655,Dyrk1A,5.73
CM-1119655,EGFR,5.78
CM-1119655,Erk2,5.18
CM-1119655,FAK,5.2
CM-1119655,Flt1,5.44
CM-1119655,Fyn,5.23
CM-1119655,GRK5,5.41
CM-1119655,Gsk3b,5.45
CM-1119655,IGF1R,5.58
CM-1119655,IKKE,5.48
CM-1119655,JAK2,6.57
CM-1119655,JAK3,6.21
CM-1119655,JNK1,5.29
CM-1119655,Lck,5.35
CM-1119655,LTK,5.58
CM-1119655,MAP3K10,5.86
CM-1119655,MAP4K2,5.56
CM-1119655,MAP4K4,5.28
CM-1119655,MEK1,5.48
CM-1119655,Nek2,5.48
CM-1119655,PAK4KD,5.34
CM-1119655,PDGFRB,5.71
CM-1119655,Pim1,5.24
CM-1119655,PKA,5.86
CM-1119655,PKCtheta,5.75
CM-1119655,Plk3,5.81
CM-1119655,Prkcn,5.44
CM-1119655,RET,5.52
CM-1119655,Rsk2,5.45
CM-1119655,TAOK2,5.18
CM-1119655,TBK1,5.5
CM-1119655,TNK2,5.43
CM-1119655,TrkC,5.46
CM-1119655,Wee1,5.44
CM-1119655,Zipk,5.27
CM-1119655,BRAF,5.47
CM-1119655,MAP2K3,5.51
CM-1119655,MST1,6.37
CM-1119655,Rock1,5.79
CM-1119655,SGK1,5.45
CM-1119655,STK16,6
CM-1119655,cMET,5.56
CM-1120263,Abl,5.59
CM-1120263,ACVR1,5.71
CM-1120263,Akt1,5.3
CM-1120263,ALK,5.24
CM-1120263,Aurora1,5.39
CM-1120263,Aurora2,5.78
CM-1120263,BTK,5.23
CM-1120263,CAMK1D,6.07
CM-1120263,CAMK2A,5.36
CM-1120263,CAMKK2,5.51
CM-1120263,CDK8/Cyclin C,5.41
CM-1120263,CDK9/Cyclin K,5.78
CM-1120263,Ck1alpha1,5.39
CM-1120263,CLK2,5.42
CM-1120263,CSF1R,6.57
CM-1120263,DDR1,5.59
CM-1120263,Dyrk1A,5.73
CM-1120263,EGFR,5.78
CM-1120263,Erk2,5.18
CM-1120263,FAK,5.2
CM-1120263,Flt1,5.44
CM-1120263,Fyn,5.23
CM-1120263,GRK5,5.36
CM-1120263,Gsk3b,5.45
CM-1120263,IGF1R,5.58
CM-1120263,IKKE,5.48
CM-1120263,JAK2,7.03
CM-1120263,JAK3,5.97
CM-1120263,JNK1,5.29
CM-1120263,Lck,5.23
CM-1120263,LTK,5.7
CM-1120263,MAP3K10,5.88
CM-1120263,MAP4K2,5.56
CM-1120263,MAP4K4,5.28
CM-1120263,MEK1,5.48
CM-1120263,Nek2,5.48
CM-1120263,PAK4KD,5.34
CM-1120263,PDGFRB,5.71
CM-1120263,Pim1,5.24
CM-1120263,PKA,5.86
CM-1120263,PKCtheta,5.75
CM-1120263,PKG1A,5.44
CM-1120263,Plk3,5.81
CM-1120263,Prkcn,5.41
CM-1120263,RET,5.52
CM-1120263,Rsk2,5.45
CM-1120263,TAOK2,5.18
CM-1120263,TBK1,5.5
CM-1120263,TNK2,5.43
CM-1120263,TrkC,5.46
CM-1120263,Wee1,5.44
CM-1120263,Zipk,5.27
CM-1120263,BRAF,5.47
CM-1120263,MAP2K3,5.51
CM-1120263,MST1,6.09
CM-1120263,Rock1,5.55
CM-1120263,SGK1,5.45
CM-1120263,STK16,5.31
CM-1120263,cMET,5.56
CM-1126013,Abl,6.1
CM-1126013,ACVR1,6.28
CM-1126013,Akt1,5.39
CM-1126013,ALK,5.42
CM-1126013,Aurora1,6.57
CM-1126013,Aurora2,5.96
CM-1126013,BTK,5.44
CM-1126013,CAMK1D,6.49
CM-1126013,CAMK2A,6.67
CM-1126013,CAMKK2,5.77
CM-1126013,CDK8/Cyclin C,6.51
CM-1126013,CDK9/Cyclin K,5.31
CM-1126013,Ck1alpha1,5.34
CM-1126013,CLK2,6.5
CM-1126013,CSF1R,8.49
CM-1126013,DDR1,5.46
CM-1126013,Dyrk1A,5.49
CM-1126013,EGFR,5.35
CM-1126013,Erk2,5.27
CM-1126013,FAK,6
CM-1126013,Flt1,6.25
CM-1126013,Fyn,5.25
CM-1126013,GRK5,5.84
CM-1126013,Gsk3b,6.49
CM-1126013,IGF1R,5.43
CM-1126013,IKKE,5.69
CM-1126013,JAK2,7.61
CM-1126013,JAK3,7.11
CM-1126013,JNK1,7.16
CM-1126013,Lck,5.82
CM-1126013,LTK,6.46
CM-1126013,MAP3K10,6.37
CM-1126013,MAP4K2,7.27
CM-1126013,MAP4K4,6.24
CM-1126013,MEK1,6.62
CM-1126013,Nek2,5.29
CM-1126013,PAK4KD,6.21
CM-1126013,PDGFRB,6.03
CM-1126013,Pim1,5.25
CM-1126013,PKA,5.36
CM-1126013,PKCtheta,6.57
CM-1126013,PKG1A,5.4
CM-1126013,Plk3,5.43
CM-1126013,Prkcn,7.47
CM-1126013,RET,6.63
CM-1126013,Rsk2,6.98
CM-1126013,TAOK2,6.06
CM-1126013,TBK1,6.3
CM-1126013,TNK2,6.26
CM-1126013,TrkC,5.68
CM-1126013,Wee1,5.36
CM-1126013,Zipk,6.22
CM-1126013,BRAF,5.6
CM-1126013,MAP2K3,5.39
CM-1126013,MST1,7.19
CM-1126013,Rock1,6.67
CM-1126013,SGK1,6.55
CM-1126013,STK16,7.23
CM-1127959,Abl,5.502
CM-1127959,ACVR1,5.329
CM-1127959,Akt1,5.39
CM-1127959,ALK,5.321
CM-1127959,Aurora1,6.073
CM-1127959,Aurora2,6.117
CM-1127959,BTK,5.228
CM-1127959,CAMK1D,5.261
CM-1127959,CAMK2A,5.604
CM-1127959,CAMKK2,5.469
CM-1127959,CDK8/Cyclin C,7.253
CM-1127959,CDK9/Cyclin K,7.264
CM-1127959,Ck1alpha1,5.338
CM-1127959,CLK2,5.333
CM-1127959,CSF1R,7.839
CM-1127959,DDR1,5.283
CM-1127959,Dyrk1A,5.291
CM-1127959,EGFR,5.348
CM-1127959,Erk2,5.273
CM-1127959,FAK,5.775
CM-1127959,Flt1,5.963
CM-1127959,Fyn,5.947
CM-1127959,GRK5,5.69
CM-1127959,Gsk3b,5.664
CM-1127959,IKKE,5.325
CM-1127959,JAK2,7.697
CM-1127959,JAK3,7.662
CM-1127959,JNK1,5.818
CM-1127959,Lck,5.656
CM-1127959,LTK,5.46
CM-1127959,MAP3K10,5.738
CM-1127959,MAP4K2,6.361
CM-1127959,MAP4K4,5.439
CM-1127959,MEK1,7.476
CM-1127959,Nek2,5.286
CM-1127959,PAK4KD,5.358
CM-1127959,PDGFRB,5.569
CM-1127959,Pim1,5.253
CM-1127959,PKA,5.311
CM-1127959,PKCtheta,7.493
CM-1127959,Plk3,5.432
CM-1127959,Prkcn,6.807
CM-1127959,RET,6.585
CM-1127959,Rsk2,6.511
CM-1127959,TAOK2,5.883
CM-1127959,TBK1,5.488
CM-1127959,TNK2,6.339
CM-1127959,TrkC,6.258
CM-1127959,Wee1,5.301
CM-1127959,Zipk,5.243
CM-1127959,MAP2K3,5.484
CM-1127959,SGK1,6.465
CM-1130450,Abl,5.59
CM-1130450,ACVR1,5.98
CM-1130450,Akt1,5.3
CM-1130450,ALK,5.24
CM-1130450,Aurora1,6.41
CM-1130450,Aurora2,6.2
CM-1130450,BTK,5.48
CM-1130450,CAMK1D,5.97
CM-1130450,CAMK2A,5.4
CM-1130450,CAMKK2,6.27
CM-1130450,CDK8/Cyclin C,7.14
CM-1130450,CDK9/Cyclin K,7.51
CM-1130450,Ck1alpha1,5.39
CM-1130450,CLK2,6.28
CM-1130450,CSF1R,7.82
CM-1130450,DDR1,5.59
CM-1130450,Dyrk1A,5.74
CM-1130450,EGFR,5.78
CM-1130450,Erk2,5.18
CM-1130450,FAK,5.82
CM-1130450,Flt1,5.96
CM-1130450,Fyn,5.23
CM-1130450,GRK5,6.23
CM-1130450,Gsk3b,5.45
CM-1130450,IGF1R,5.58
CM-1130450,IKKE,5.62
CM-1130450,JAK2,7.54
CM-1130450,JAK3,7.04
