CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,MW,Molecular_Weight,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)"
CM-2062358,JAK1 EC50(uM),0.168,,274.36,54.04,2.479,2.4327,1,5,2,0.6,Class C,54.8,615,,,11.6
CM-2046434,JAK1 EC50(uM),0.0505,,353.46,58.45,1.76,1.2578,1,6,3,0.6,Class C,31.6,604,,,16.2
CM-2110944,JAK1 EC50(uM),0.142,,310.39,55.21,2.032,2.0307,1,5,3,0.55556,Class C,35.8,15,,,20.1
CM-2042513,JAK1 EC50(uM),0.0566,,373.44,49.22,2.177,1.0221,1,5,3,0.6,Class C,12.5,208,,,27.5
CM-2145459,JAK1 EC50(uM),3,,280.32,61.88,2.688,2.6505,1,5,3,0.1875,Class C,,,,,
CM-2042512,JAK1 EC50(uM),0.0259,,373.44,49.22,2.177,1.0221,1,5,3,0.6,Class C,,113,,,18.4
CM-2046263,JAK1 EC50(uM),0.0863,,365.47,58.45,1.572,1.2169,1,6,3,0.61905,Class C,42.3,578,,,13.5
CM-2111252,JAK1 EC50(uM),0.0572,,310.39,55.21,2.032,2.0307,1,5,3,0.55556,Class C,,,,,
CM-2121006,JAK1 EC50(uM),3,,391.43,49.22,2.731,0.8011,1,5,3,0.6,Class C,,464,,,32.7
CM-2072360,JAK1 EC50(uM),0.325,,284.36,55.21,1.608,1.6069,1,5,3,0.5,Class C,57.7,47,,,7.45
CM-2108480,JAK1 EC50(uM),0.885,,331.36,49.22,1.846,1.8448,1,5,3,0.52941,Class C,35.4,550,,,19
CM-2099643,JAK1 EC50(uM),0.192,,385.36,69.97,1.651,1.6296,2,6,3,0.52941,Class C,82.2,551,,,2.5
CM-2145470,JAK1 EC50(uM),0.00219,,340.42,77.48,2.628,2.5818,1,7,2,0.55556,Class C,,,,,
CM-2119559,JAK1 EC50(uM),0.00124,,286.25,54.04,2.768,2.7224,1,5,2,0.5,Class C,40.6,96,,,2.5
CM-2139790,JAK1 EC50(uM),0.391,,269.3,68.1,0.022,0.0216,1,6,3,0.5,Class C,43.9,561,,,8.58
CM-2045938,JAK1 EC50(uM),0.307,,257.29,68.1,-0.004,-0.0041,1,6,3,0.46154,Class C,73.9,589,,,2.5
CM-2115830,JAK1 EC50(uM),1.23,,391.43,49.22,2.731,0.8011,1,5,3,0.6,Class C,7.2,425,,,39.6
CM-2134014,JAK1 EC50(uM),0.292,,282.3,72.28,0.5,0.4996,1,6,3,0.4,Class C,29.1,211,,,2.5
CM-1337494,JAK1 EC50(uM),0.685,,242.28,55.21,0.743,0.7433,1,5,3,0.38462,Class C,17.8,26.7,,,5.51
